query best,latency_ms,,query base,latency_ms,,,,query best,latency_ms,,query base,latency_ms
soload_q1-001,7.964,,soload_q1-001,15.484,,,,soload_q1-001,7.964,,soload_q1-001,15.484
soload_q1-002,3.834,,soload_q1-002,14.103,,,,soload_q1-002,3.834,,soload_q1-002,14.103
soload_q1-003,3.991,,soload_q1-003,10.368,,,,soload_q1-003,3.991,,soload_q1-003,10.368
soload_q1-004,4.535,,soload_q1-004,6.533,,,,soload_q1-004,4.535,,soload_q1-004,6.533
soload_q1-005,4.269,,soload_q1-005,7.512,,,,soload_q1-005,4.269,,soload_q1-005,7.512
soload_q10-001,1522.62,,soload_q10-001,743.158,,,,soload_q11-001,853.136,,soload_q11-001,20035.453
soload_q10-002,1486.181,,soload_q10-002,1002.049,,,,soload_q11-002,31.197,,soload_q11-002,211.6
soload_q10-003,1435.05,,soload_q10-003,215.738,,,,soload_q11-003,51.72,,soload_q11-003,125.292
soload_q10-004,1636.429,,soload_q10-004,130.467,,,,soload_q11-004,960.788,,soload_q11-004,14459.551
soload_q10-005,1627.361,,soload_q10-005,118.932,,,,soload_q11-005,56.35,,soload_q11-005,161.391
soload_q11-001,853.136,,soload_q11-001,20035.453,,,,soload_q12-001,187.34,,soload_q12-001,441.721
soload_q11-002,31.197,,soload_q11-002,211.6,,,,soload_q12-002,45.181,,soload_q12-002,696.571
soload_q11-003,51.72,,soload_q11-003,125.292,,,,soload_q12-003,86.05,,soload_q12-003,550.218
soload_q11-004,960.788,,soload_q11-004,14459.551,,,,soload_q12-004,597.197,,soload_q12-004,6635.781
soload_q11-005,56.35,,soload_q11-005,161.391,,,,soload_q12-005,37.965,,soload_q12-005,331.162
soload_q12-001,187.34,,soload_q12-001,441.721,,,,soload_q13-004,1546.611,,soload_q13-004,2055.136
soload_q12-002,45.181,,soload_q12-002,696.571,,,,soload_q13-005,1334.85,,soload_q13-005,7447.787
soload_q12-003,86.05,,soload_q12-003,550.218,,,,soload_q14-001,4608.61,,soload_q14-001,30000
soload_q12-004,597.197,,soload_q12-004,6635.781,,,,soload_q14-002,414.734,,soload_q14-002,1023.306
soload_q12-005,37.965,,soload_q12-005,331.162,,,,soload_q14-003,1253.133,,soload_q14-003,2031.319
soload_q13-001,1062.246,,soload_q13-001,677.231,,,,soload_q14-004,630.626,,soload_q14-004,2489.37
soload_q13-002,545.934,,soload_q13-002,519.346,,,,soload_q14-005,47.874,,soload_q14-005,87.259
soload_q13-003,802.662,,soload_q13-003,721.221,,,,soload_q15-001,653.059,,soload_q15-001,2743.745
soload_q13-004,1546.611,,soload_q13-004,2055.136,,,,soload_q15-002,882.032,,soload_q15-002,2107.232
soload_q13-005,1334.85,,soload_q13-005,7447.787,,,,soload_q15-003,2960.496,,soload_q15-003,4477.115
soload_q14-001,4608.61,,soload_q14-001,30000,,,,soload_q15-004,225.173,,soload_q15-004,739.95
soload_q14-002,414.734,,soload_q14-002,1023.306,,,,soload_q15-005,136.768,,soload_q15-005,236.92
soload_q14-003,1253.133,,soload_q14-003,2031.319,,,,soload_q16-001,399.081,,soload_q16-001,1165.847
soload_q14-004,630.626,,soload_q14-004,2489.37,,,,soload_q16-002,794.592,,soload_q16-002,1893.21
soload_q14-005,47.874,,soload_q14-005,87.259,,,,soload_q16-003,440.827,,soload_q16-003,1084.328
soload_q15-001,653.059,,soload_q15-001,2743.745,,,,soload_q16-004,1715.759,,soload_q16-004,7346.245
soload_q15-002,882.032,,soload_q15-002,2107.232,,,,soload_q16-005,374.921,,soload_q16-005,494.611
soload_q15-003,2960.496,,soload_q15-003,4477.115,,,,soload_q4-001,94.131,,soload_q4-001,149.399
soload_q15-004,225.173,,soload_q15-004,739.95,,,,soload_q4-002,98.902,,soload_q4-002,242.266
soload_q15-005,136.768,,soload_q15-005,236.92,,,,soload_q4-004,42.183,,soload_q4-004,162.988
soload_q16-001,399.081,,soload_q16-001,1165.847,,,,soload_q4-005,92.631,,soload_q4-005,276.623
soload_q16-002,794.592,,soload_q16-002,1893.21,,,,soload_q5-001,16.805,,soload_q5-001,48.049
soload_q16-003,440.827,,soload_q16-003,1084.328,,,,soload_q5-002,14.821,,soload_q5-002,68.26
soload_q16-004,1715.759,,soload_q16-004,7346.245,,,,soload_q5-003,10.721,,soload_q5-003,23.688
soload_q16-005,374.921,,soload_q16-005,494.611,,,,soload_q5-004,12.315,,soload_q5-004,24.48
soload_q2-001,3060.701,,soload_q2-001,2194.384,,,,soload_q5-005,72.38,,soload_q5-005,100.743
soload_q2-002,5359.158,,soload_q2-002,1713.258,,,,soload_q6-001,4.593,,soload_q6-001,20.502
soload_q2-003,1840.357,,soload_q2-003,283.435,,,,soload_q6-002,19.075,,soload_q6-002,167.158
soload_q2-004,2528.648,,soload_q2-004,1313.284,,,,soload_q6-003,11.542,,soload_q6-003,56.829
soload_q2-005,7360.459,,soload_q2-005,1199.587,,,,soload_q6-004,22.356,,soload_q6-004,191.398
soload_q3-001,6403.049,,soload_q3-001,533.082,,,,soload_q6-005,6.299,,soload_q6-005,29.975
soload_q3-002,6691.831,,soload_q3-002,2019.936,,,,soload_q7-001,504.126,,soload_q7-001,724.128
soload_q3-003,6977.87,,soload_q3-003,1283.95,,,,soload_q7-003,354.543,,soload_q7-003,360.417
soload_q3-004,6684.736,,soload_q3-004,559.813,,,,soload_q7-004,890.615,,soload_q7-004,2845.033
soload_q3-005,6755.051,,soload_q3-005,539.833,,,,soload_q7-005,353.52,,soload_q7-005,384.807
soload_q4-001,94.131,,soload_q4-001,149.399,,,,soload_q9-003,497.935,,soload_q9-003,25327.801
soload_q4-002,98.902,,soload_q4-002,242.266,,,,soload_q9-005,548.382,,soload_q9-005,30000
soload_q4-003,91.3,,soload_q4-003,76.452,,,,soload_q9-006,527.25,,soload_q9-006,30000
soload_q4-004,42.183,,soload_q4-004,162.988,,,,soload_q9-008,469.091,,soload_q9-008,30000
soload_q4-005,92.631,,soload_q4-005,276.623,,,,soload_q9-013,649.327,,soload_q9-013,30000
soload_q5-001,16.805,,soload_q5-001,48.049,,,,all,26664.206,,all,262330.664
soload_q5-002,14.821,,soload_q5-002,68.26,,,,,,,,
soload_q5-003,10.721,,soload_q5-003,23.688,,,,,,,0.898356503,
soload_q5-004,12.315,,soload_q5-004,24.48,,,,,,,,
soload_q5-005,72.38,,soload_q5-005,100.743,,,,,,,,
soload_q6-001,4.593,,soload_q6-001,20.502,,,,,,,,
soload_q6-002,19.075,,soload_q6-002,167.158,,,,,,,,
soload_q6-003,11.542,,soload_q6-003,56.829,,,,,,,,
soload_q6-004,22.356,,soload_q6-004,191.398,,,,,,,,
soload_q6-005,6.299,,soload_q6-005,29.975,,,,,,,,
soload_q7-001,504.126,,soload_q7-001,724.128,,,,,,,,
soload_q7-002,711.428,,soload_q7-002,371.123,,,,,,,,
soload_q7-003,354.543,,soload_q7-003,360.417,,,,,,,,
soload_q7-004,890.615,,soload_q7-004,2845.033,,,,,,,,
soload_q7-005,353.52,,soload_q7-005,384.807,,,,,,,,
soload_q8-001,53.616,,soload_q8-001,10.737,,,,,,,,
soload_q8-002,36.584,,soload_q8-002,7.769,,,,,,,,
soload_q8-003,36.382,,soload_q8-003,8.793,,,,,,,,
soload_q8-004,37.856,,soload_q8-004,10.349,,,,,,,,
soload_q8-005,38.175,,soload_q8-005,9.808,,,,,,,,
soload_q9-003,497.935,,soload_q9-003,25327.801,,,,,,,,
soload_q9-005,548.382,,soload_q9-005,30000,,,,,,,,
soload_q9-006,527.25,,soload_q9-006,30000,,,,,,,,
soload_q9-008,469.091,,soload_q9-008,30000,,,,,,,,
soload_q9-013,649.327,,soload_q9-013,30000,,,,,,,,
all,91449.89,,all,278594.399,,,,,,,,
,,,,,,,,,,,,
,,,0.671745411,,,,,,,,,
